# nbre d'ondes: 124 
--------astronomic potential amplitude in cm, pulsation in degrees/h and in /h, period in hours and in days, critical latitude in degrees, Doodson number
     wave       Ap          deg/h              /h               h            days        deg   Doodson
        Z0  0.0000     0.000000000     0.000000000             inf             inf     0.0000  0555555
        Sa  0.0000     0.041068639     0.000114080  8765.812771979   365.242198832     0.0782  0565555
       Ssa  1.9416     0.082137278     0.000228159  4382.906385989   182.621099416     0.1564  0575555
       MSm  0.3094     0.471521089     0.001309781   763.486530333    31.811938764     0.8981  0636555
        Mm  2.2056     0.544374697     0.001512152   661.309207939    27.554550331     1.0369  0654555
       MSf  0.2240     1.015895786     0.002821933   354.367057034    14.765294043     1.9353  0735555
        Mf  4.1765     1.098033064     0.003050092   327.858979630    13.660790818     2.0918  0755555
      MStm  0.1147     1.569554153     0.004359873   229.364497779     9.556854074     2.9908  0836555
       Mtm  0.8081     1.642407762     0.004562244   219.190391341     9.132932973     3.1298  0854555
      MSqm  0.0667     2.113928850     0.005872025   170.299014535     7.095792272     4.0296  0935555
       Mqm  0.0000     2.186782459     0.006074396   164.625428795     6.859392866     4.1687  0953555
      3OK1  0.0000    11.746969447     0.032630471    30.646202123     1.276925088    22.9854  1055550
       2Q1  0.2587    12.854286180     0.035706350    28.006222591     1.166925941    25.2967  1257554
      Sig1  0.1627    12.927139789     0.035908722    27.848387647     1.160349485    25.4503  1275554
        Q1  1.9469    13.398660877     0.037218502    26.868356718     1.119514863    26.4491  1356554
       Ro1  0.3787    13.471514486     0.037420874    26.723053326     1.113460555    26.6042  1374554
        O1 10.0573    13.943035575     0.038730654    25.819341711     1.075805905    27.6131  1455554
       MS1  0.0000    13.984104214     0.038844734    25.743515244     1.072646468    27.7014  1465555
       MP1  0.0800    14.025172853     0.038958813    25.668132848     1.069505535    27.7898  1475556
        M1  0.9788    14.496693942     0.040268594    24.833248288     1.034718679    28.8098  1556556
       Ki1  0.1120    14.569547550     0.040470965    24.709072039     1.029544668    28.9683  1574556
       Pi1  0.2747    14.917864683     0.041438513    24.132140065     1.005505836    29.7294  1625564
        P1  4.6806    14.958931361     0.041552587    24.065890224     1.002745426    29.8195  1635554
        S1  0.0000    15.000000000     0.041666667    24.000000000     1.000000000    29.9097  1645555
        K1 14.1484    15.041068639     0.041780746    23.934469594     0.997269566    30.0000  1655556
